  Current Time (s),Current Time (years),Pore Volume,Phase1-S11- Volume rate,Phase2-S11- Volume rate,Phase1-S11- Cumulative production,Phase2-S11- Cumulative production,Phase1-S11- Averaged PhaseVolumeFraction,Phase2-S11- Averaged PhaseVolumeFraction,Phase1-S11- Averaged Density,Phase2-S11- Averaged Density
 0.10000000000E-03,0.31709791984E-11,0.30430818085E+01,0.17677665109E-06,0.70710660437E+00,0.17677665109E-10,0.70710660437E-04,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.21000000000E-03,0.66590563166E-11,0.30430818085E+01,0.17677661055E-06,0.70710644218E+00,0.37123092270E-10,0.14849236908E-03,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.33100000000E-03,0.10495941147E-10,0.30430818085E+01,0.17677663307E-06,0.70710653227E+00,0.58513064871E-10,0.23405225948E-03,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.46410000000E-03,0.14716514460E-10,0.30430818085E+01,0.17677665101E-06,0.70710660396E+00,0.82042037120E-10,0.32816814847E-03,0.20000000001E+00,0.79999999998E+00,0.10000000000E+01,0.10000000000E+01
 0.61051000000E-03,0.19359145104E-10,0.30430818085E+01,0.17677664888E-06,0.70710659551E+00,0.10792390628E-09,0.43169562512E-03,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.77156100000E-03,0.24466038813E-10,0.30430818085E+01,0.17677665085E-06,0.70710660341E+00,0.13639396268E-09,0.54557585070E-03,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.94871710000E-03,0.30083621892E-10,0.30430818085E+01,0.17677665093E-06,0.70710660371E+00,0.16771102473E-09,0.67084409890E-03,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.11435888100E-02,0.36262963280E-10,0.30430818085E+01,0.17677665082E-06,0.70710660326E+00,0.20215979296E-09,0.80863917183E-03,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.13579476910E-02,0.43060238806E-10,0.30430818085E+01,0.17677665046E-06,0.70710660182E+00,0.24005343794E-09,0.96021375174E-03,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.15937424601E-02,0.50537241885E-10,0.30430818085E+01,0.17677664971E-06,0.70710659881E+00,0.28173644724E-09,0.11269457889E-02,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.18531167061E-02,0.58761945272E-10,0.30430818085E+01,0.17677664868E-06,0.70710659472E+00,0.32758775721E-09,0.13103510288E-02,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.21384283767E-02,0.67809118998E-10,0.30430818085E+01,0.17677665020E-06,0.70710660077E+00,0.37802419860E-09,0.15120967944E-02,0.20000000000E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.24522712144E-02,0.77761010096E-10,0.30430818085E+01,0.17677664825E-06,0.70710659298E+00,0.43350428352E-09,0.17340171340E-02,0.20000000001E+00,0.80000000000E+00,0.10000000000E+01,0.10000000000E+01
 0.27974983358E-02,0.88708090304E-10,0.30430818085E+01,0.17677664674E-06,0.70710658691E+00,0.49453237641E-09,0.19781295056E-02,0.20000000001E+00,0.79999999999E+00,0.10000000000E+01,0.10000000000E+01
 0.31772481694E-02,0.10074987853E-09,0.30430818085E+01,0.17677664494E-06,0.70710657974E+00,0.56166327791E-09,0.22466531116E-02,0.20000000001E+00,0.79999999999E+00,0.10000000000E+01,0.10000000000E+01
 0.35949729864E-02,0.11399584558E-09,0.30430818085E+01,0.17677663214E-06,0.70710652850E+00,0.63550726420E-09,0.25420290567E-02,0.20000000001E+00,0.79999999999E+00,0.10000000000E+01,0.10000000000E+01
